iter	Logloss
0	0.6601511592
1	0.6281787774
2	0.5994732605
3	0.5739687399
4	0.5498834838
5	0.526042599
6	0.5078762776
7	0.4876342315
8	0.4707239883
9	0.4540312614
10	0.4383685419
11	0.4252369137
12	0.4111476305
13	0.3996050866
14	0.3867361873
15	0.3777309335
16	0.368834976
17	0.3602653729
18	0.3515600484
19	0.3430238188
20	0.3342309269
21	0.3266335897
22	0.3197840121
23	0.314570682
24	0.3094505017
25	0.3050298018
26	0.3002143382
27	0.2952348336
28	0.2915710652
29	0.2880795112
30	0.2843968645
31	0.2807186876
32	0.277718511
33	0.2753945438
34	0.2723309351
35	0.2699945903
36	0.2671809326
37	0.2648377638
38	0.2626785821
39	0.2602963623
40	0.2582226928
41	0.2563481587
42	0.2546105306
43	0.2526901898
44	0.2512116517
45	0.2492196678
46	0.2478579627
47	0.2461524632
48	0.2445786293
49	0.2430055514
50	0.2418090797
51	0.2407181242
52	0.2398566934
53	0.2386025186
54	0.2376825123
55	0.2364759041
56	0.2353658323
57	0.2344112264
58	0.2335778238
59	0.2325182567
60	0.2315047431
61	0.2308058957
62	0.2300649889
63	0.2292256527
64	0.2286056381
65	0.2279212819
66	0.2273443446
67	0.2266822457
68	0.2260564541
69	0.2254321521
70	0.2248682575
71	0.2243010931
72	0.2237969983
73	0.2230064058
74	0.222458713
75	0.2219992023
76	0.2214891625
77	0.2211025138
78	0.2206143743
79	0.220147532
80	0.219705964
81	0.2193719105
82	0.2187652064
83	0.2183974618
84	0.217927251
85	0.2175733788
86	0.2172716215
87	0.2168854871
88	0.216446187
89	0.2161136659
90	0.215771428
91	0.2153688088
92	0.2149568082
93	0.2144257723
94	0.2141632175
95	0.2137848312
96	0.2134433555
97	0.2131689557
98	0.2129486104
99	0.2126473466
100	0.2124364901
101	0.2120229685
102	0.2117429414
103	0.2114765695
104	0.2112695024
105	0.2109951869
106	0.2106706594
107	0.2103216968
108	0.2100587115
109	0.2097664353
110	0.2095042449
111	0.2091958787
112	0.2089062403
113	0.2086530309
114	0.2083611643
115	0.2081430055
116	0.2077442503
117	0.2074681382
118	0.2072610555
119	0.2068858104
120	0.2066698583
121	0.2064381037
122	0.2062892853
123	0.2061090396
124	0.2058895563
125	0.2056831655
126	0.2055874803
127	0.2053317228
128	0.2049897953
129	0.2047664437
130	0.2045567321
131	0.2042341089
132	0.2039824933
133	0.2038080222
134	0.2037006218
135	0.2034885932
136	0.2031854305
137	0.202921318
138	0.2026881121
139	0.2025198039
140	0.2023636036
141	0.2021479714
142	0.2019741436
143	0.2018016405
144	0.2015997136
145	0.201377148
146	0.2011830274
147	0.2010213433
148	0.2008876703
149	0.2007610606
150	0.2005989983
151	0.2004352117
152	0.2002775364
