iter	Passed	Remaining
412	3787	5382
413	3795	5372
414	3804	5362
415	3813	5353
416	3822	5343
417	3831	5334
418	3840	5325
419	3849	5315
420	3858	5306
421	3867	5297
422	3877	5288
423	3886	5279
424	3894	5269
425	3903	5259
426	3912	5249
427	3921	5240
428	3929	5230
429	3938	5220
430	3947	5211
431	3956	5202
432	3965	5192
433	3974	5183
434	3983	5173
435	3992	5164
436	4001	5155
437	4010	5145
438	4019	5135
439	4027	5126
440	4036	5116
441	4045	5106
442	4053	5097
443	4062	5087
444	4071	5078
445	4080	5068
446	4088	5058
447	4097	5049
448	4106	5039
449	4115	5030
450	4124	5020
451	4133	5010
452	4141	5000
453	4150	4991
454	4159	4981
455	4168	4972
456	4177	4963
457	4186	4953
458	4195	4944
459	4203	4934
460	4212	4925
461	4221	4915
462	4229	4905
463	4238	4896
464	4248	4887
465	4257	4878
466	4266	4868
467	4274	4859
468	4283	4849
469	4291	4839
470	4300	4830
471	4309	4820
472	4318	4811
473	4326	4801
474	4335	4791
475	4344	4782
476	4353	4772
477	4361	4763
478	4370	4753
479	4379	4744
480	4388	4735
481	4397	4726
482	4406	4716
483	4414	4706
484	4424	4697
485	4432	4688
486	4441	4678
487	4450	4669
488	4459	4659
489	4468	4650
490	4477	4641
491	4486	4632
492	4495	4622
493	4504	4613
494	4512	4604
495	4521	4594
496	4530	4584
497	4538	4575
498	4547	4565
499	4556	4556
500	4564	4546
501	4573	4537
502	4582	4527
503	4590	4518
504	4599	4508
505	4608	4499
506	4617	4490
507	4626	4480
508	4634	4471
509	4644	4462
510	4653	4452
511	4661	4443
512	4670	4433
513	4679	4424
514	4688	4415
515	4697	4406
516	4705	4396
517	4715	4387
518	4724	4378
519	4733	4369
520	4742	4360
521	4751	4350
522	4760	4341
523	4768	4332
524	4777	4322
525	4786	4313
526	4795	4303
527	4803	4294
528	4812	4284
529	4821	4275
530	4830	4266
531	4838	4256
532	4847	4247
533	4857	4238
534	4867	4230
535	4876	4221
536	4885	4212
537	4894	4202
538	4903	4193
539	4912	4184
540	4920	4174
541	4929	4165
542	4938	4156
543	4947	4147
544	4956	4137
545	4965	4128
546	4974	4119
547	4983	4110
548	4991	4100
549	5000	4091
550	5009	4081
551	5018	4072
552	5026	4063
553	5035	4053
554	5044	4044
555	5053	4035
556	5062	4026
557	5071	4016
558	5080	4007
559	5088	3998
560	5097	3988
561	5105	3979
562	5114	3970
563	5123	3960
564	5132	3951
565	5140	3941
566	5149	3932
567	5158	3923
568	5167	3913
569	5175	3904
570	5183	3894
571	5193	3885
572	5201	3876
573	5210	3866
574	5219	3857
575	5228	3849
576	5238	3840
577	5246	3830
578	5255	3821
579	5264	3812
580	5273	3802
581	5282	3793
582	5291	3784
583	5299	3775
584	5308	3766
585	5317	3756
586	5325	3747
587	5334	3737
588	5343	3728
589	5352	3719
590	5361	3710
591	5369	3700
592	5378	3691
593	5387	3682
594	5396	3673
595	5405	3663
596	5413	3654
597	5422	3645
598	5431	3635
599	5440	3626
600	5448	3617
601	5457	3608
602	5466	3599
603	5475	3589
604	5484	3580
605	5493	3571
606	5501	3562
607	5510	3552
608	5519	3543
609	5527	3534
610	5536	3525
611	5546	3516
612	5555	3507
613	5563	3497
614	5572	3488
615	5581	3479
616	5590	3470
617	5598	3460
618	5607	3451
619	5616	3442
620	5625	3433
621	5634	3424
